sample_name,neighbours_count,vertex_betweenness,time_s
134:31-01-2021:0,42,0.5,0.004376411437988281
111:13-12-2020:0,15,0.0,0.0024666786193847656
408:18-05-2021:0,12,0.0,0.0024683475494384766
411:27-04-2021:0,0,0.5,0.0021376609802246094
670:18-05-2021:0,29,0.0,0.003217935562133789
702:13-09-2020:0,44,0.0,0.004600048065185547
589:10-05-2021:0,13,0.0,0.0024518966674804688
414:11-03-2021:0,20,0.5,0.002666950225830078
416:05-06-2020:0,35,0.0,0.003612041473388672
240:02-04-2020:0,6,0.5,0.0022771358489990234
238:05-01-2021:0,27,0.0,0.0030617713928222656
577:25-06-2021:0,11,0.0,0.0023124217987060547
755:06-02-2021:1,38,0.0,0.003993988037109375
196:16-09-2020:0,0,0.5,0.0022377967834472656
867:02-04-2021:1,26,0.0,0.005397319793701172
594:08-09-2020:0,3,0.5,0.0022139549255371094
881:20-12-2020:1,78,0.0,0.012569427490234375
420:21-11-2020:0,31,0.0,0.003265380859375
922:02-04-2021:1,9,0.5,0.0023255348205566406
691:30-11-2020:0,8,0.5,0.0023157596588134766
937:04-05-2021:1,11,0.5,0.0024013519287109375
796:02-04-2021:1,2,0.5,0.002177000045776367
160:18-01-2021:0,9,0.5,0.002316713333129883
322:03-04-2021:0,39,0.0,0.004198312759399414
720:07-08-2020:0,20,0.5,0.002615213394165039
931:27-02-2021:1,20,0.0,0.002695322036743164
996:17-06-2021:1,3,0.5,0.0022377967834472656
574:10-08-2020:0,29,0.0,0.0031032562255859375
28:24-07-2020:0,32,0.0,0.003384113311767578
534:14-12-2020:0,1,0.5,0.002204418182373047
190:07-05-2020:0,10,0.5,0.0023169517517089844
329:27-09-2020:0,1,0.5,0.002224445343017578
900:07-06-2021:1,18,0.0,0.0025861263275146484
733:24-08-2020:0,12,0.0,0.002346038818359375
580:25-02-2021:0,19,0.0,0.002711057662963867
91:21-02-2021:0,3,0.5,0.0021855831146240234
818:20-04-2021:1,26,0.0,0.0030698776245117188
843:14-01-2021:1,27,0.0,0.003275632858276367
22:09-08-2020:0,3,0.5,0.0022156238555908203
804:30-03-2021:1,4,0.5,0.0022017955780029297
58:15-04-2021:0,8,0.0,0.0022687911987304688
904:10-05-2021:1,19,0.0,0.0025780200958251953
166:04-06-2020:0,8,0.0,0.0022726058959960938
54:02-12-2020:0,8,0.5,0.0022368431091308594
710:05-09-2020:0,11,0.5,0.0023581981658935547
791:01-05-2021:1,1,0.5,0.002120494842529297
961:18-05-2021:1,1,0.5,0.002150297164916992
159:27-10-2020:0,45,0.0,0.005681276321411133
375:17-02-2021:0,1,0.5,0.0022330284118652344
188:18-12-2020:0,1,0.5,0.0021903514862060547
884:04-05-2021:1,18,0.0,0.0025539398193359375
912:28-04-2021:1,1,0.5,0.002207040786743164
581:03-03-2021:0,20,0.0,0.002649545669555664
394:13-12-2020:0,18,0.0,0.0025818347930908203
23:18-10-2020:0,6,0.5,0.002273082733154297
39:15-01-2021:0,5,0.5,0.0021889209747314453
582:07-11-2020:0,47,0.0,0.0049381256103515625
845:12-02-2021:1,7,0.0,0.002312898635864258
929:06-04-2021:1,10,0.0,0.002335786819458008
812:20-05-2021:1,1,0.5,0.0021572113037109375
673+366,202,1.0,0.1267549991607666
562:29-06-2021:0,6,0.0,0.002649068832397461
835:28-01-2021:1,3,0.5,0.0023131370544433594
956:14-02-2021:1,65,0.0,0.008476972579956055
454:02-01-2021:0,28,0.0,0.003204345703125
925:11-03-2021:1,11,0.0,0.0023393630981445312
147:13-07-2020:0,15,0.5,0.0024001598358154297
49:20-02-2021:0,14,0.0,0.002422332763671875
155:20-04-2021:0,1,0.5,0.0021550655364990234
978:28-02-2021:1,3,0.5,0.0022132396697998047
878:22-03-2021:1,56,0.0,0.006356716156005859
405:05-07-2020:0,10,0.5,0.002367258071899414
470:04-08-2020:0,48,0.0,0.0050640106201171875
637:07-09-2020:0,9,0.0,0.0024008750915527344
829:25-03-2021:1,9,0.5,0.0024518966674804688
518:30-10-2020:0,22,0.0,0.002730131149291992
